,MAE,RMSE
NaiveBaseline,8.073673502604162,10.38798543180574
ARIMA,30.755956942519685,37.45374129224472
NeuralProphet,39.740603637695315,41.64660129482366
XGBoost,0.31334951519966125,0.438052390689594
LSTM,8.978577677408856,10.505932331897139
